"","Event.Name","Start.Date.Time","End.Date.Time","Event.Type","Event.Borough","Event.Location"
"34","Horizon-Forbidden West Clawstrider Sculpture - Times Sq. Plaza","02/18/2022 07:00:00 AM","02/20/2022 08:00:00 PM","Plaza Event","Manhattan","43/44 Broadway Pedestrian Plaza (Times Sq): 43/44 Broadway Pedestrian Plaza (Times Sq) BROADWAY between WEST   43 STREET and WEST   44 STREET,  WEST   43 STREET between BROADWAY and 6 AVENUE"
"35","Vaccine Command Center- Bushwick","02/18/2022 06:00:00 AM","02/18/2022 07:00:00 PM","Special Event","Brooklyn","Maria Hernandez Park: Perimeter Sidewalk Knickerbocker"
"36","Soccer - Non Regulation","03/12/2022 10:00:00 AM","03/12/2022 12:00:00 PM","Sport - Adult","Manhattan","East River Park: Grand Street Mini Field-Soccer-03"
"37","Celebration","06/25/2022 10:00:00 AM","06/25/2022 12:00:00 PM","Special Event","Manhattan","Central Park: Wagner Cove ,Central Park: Cherry Hill"
"38","Celebration","09/04/2022 01:00:00 PM","09/04/2022 03:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"39","NYC Surfing Surf School","02/27/2022 08:00:00 AM","02/27/2022 03:00:00 PM","Special Event","Queens","Rockaway Beach and Boardwalk: Beach 67th Street Surfing Beach"
"40","Outdoor Learning - Brooklyn International High School","03/08/2022 09:00:00 AM","03/08/2022 03:00:00 PM","Special Event","Brooklyn","Commodore Barry Park: Multi Purpose Play Area-01"
"41","Soccer -Regulation","03/13/2022 08:00:00 AM","03/13/2022 08:00:00 PM","Sport - Youth","Queens","St. Michael's Playground: Soccer-01"
"42","Soccer - Non Regulation","03/12/2022 10:00:00 AM","03/12/2022 12:00:00 PM","Sport - Youth","Manhattan","Peter's Field: Soccer-01"
"43","Celebration","06/01/2022 02:00:00 PM","06/01/2022 03:00:00 PM","Special Event","Manhattan","Fort Tryon Park: Linden Terrace ,Fort Tryon Park: Heather Garden ,Fort Tryon Park: Billings Lawn"
"44","Outdoor Learning Permit","03/14/2022 09:30:00 AM","03/14/2022 01:30:00 PM","Special Event","Manhattan","Inwood Hill Park: Emerson Playground"
"45","Soccer - Non Regulation","02/17/2022 05:00:00 PM","02/17/2022 07:00:00 PM","Sport - Youth","Queens","Frank Principe Park / Maurice Park: Soccer-03"
"46","Soccer -Regulation","03/12/2022 08:00:00 AM","03/12/2022 10:00:00 AM","Sport - Adult","Brooklyn","Kaiser Park: Football-01"
"47","Turtle Pond Lawn Winter Closure Nov. 29, 2021 - April 2, 2022","03/08/2022 12:00:00 AM","03/08/2022 11:59:00 PM","Special Event","Manhattan","Central Park: Turtle Pond Lawn"
"48","Celebration","02/19/2022 02:30:00 PM","02/19/2022 04:30:00 PM","Special Event","Manhattan","Central Park: Wagner Cove ,Central Park: Cherry Hill"
"49","Baseball - Adults","02/25/2022 09:00:00 AM","02/25/2022 03:00:00 PM","Sport - Adult","Manhattan","De Witt Clinton Park: Baseball-03"
"50","Celebration","06/03/2022 10:00:00 AM","06/03/2022 12:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"51","Celebration","08/06/2022 03:00:00 PM","08/06/2022 05:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"52","Outdoor Learning - University Neighborhood High School 01M448 - DOE","02/28/2022 08:00:00 AM","02/28/2022 03:00:00 PM","Special Event","Manhattan","Lillian D Wald Playground: Lillian D Wald Playground"
"53","Baseball - Adults","02/19/2022 09:00:00 AM","02/19/2022 03:00:00 PM","Sport - Adult","Manhattan","De Witt Clinton Park: Baseball-03"
"54","Softball - Adults","03/14/2022 09:00:00 AM","03/14/2022 06:00:00 PM","Sport - Adult","Brooklyn","Van Voorhees Playground: Softball-01"
"55","Mobile COVID-19 Test Site","03/05/2022 08:00:00 AM","03/05/2022 06:00:00 PM","Special Event","Bronx","Rienzi Playground: Rienzi Playground"
"56","Celebration","03/18/2022 01:00:00 PM","03/18/2022 03:00:00 PM","Special Event","Manhattan","Central Park: Dene Lawn"
"57","Celebration","04/15/2022 02:00:00 PM","04/15/2022 04:00:00 PM","Special Event","Manhattan","Fort Tryon Park: Billings Lawn ,Fort Tryon Park: Heather Garden ,Fort Tryon Park: Linden Terrace"
"58","Baseball - Adults","02/16/2022 09:00:00 AM","02/16/2022 03:00:00 PM","Sport - Adult","Manhattan","De Witt Clinton Park: Baseball-03"
"59","Baseball - 12 and Under (Little League)","03/14/2022 03:00:00 PM","03/14/2022 05:30:00 PM","Sport - Youth","Manhattan","Riverside Park: 103rd St-Softball-04 ,Riverside Park: 103rd St-Softball-05 ,East River Park: Softball-05"
"60","Soccer - Non Regulation","03/14/2022 03:00:00 PM","03/14/2022 05:30:00 PM","Sport - Youth","Manhattan","Eugene McCabe Field: Soccer-01"
"61","Aurora's Funeral","03/26/2022 03:00:00 PM","03/26/2022 04:00:00 PM","Special Event","Queens","Francis Lewis Playground: Francis Lewis Playground"
"62","Frisbee","03/14/2022 04:00:00 PM","03/14/2022 05:30:00 PM","Sport - Youth","Brooklyn","Commodore Barry Park: Soccer-01"
"63","NYRR Open Run Cunningham Park","03/13/2022 09:00:00 AM","03/13/2022 10:00:00 AM","Special Event","Queens","Cunningham Park: Natural Trails"
"64","Studio 145: Danceathon 4: The Sound of Disco","06/03/2022 05:30:00 PM","06/03/2022 08:00:00 PM","Special Event","Manhattan","Jackie Robinson Park: Bandshell"
"65","The Scandinavian Music Festival","06/12/2022 02:00:00 PM","06/12/2022 03:30:00 PM","Special Event","Manhattan","Fort Tryon Park: Billings Lawn"
"66","Celebration","05/14/2022 03:00:00 PM","05/14/2022 05:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"67","Baseball - Adults","02/22/2022 09:00:00 AM","02/22/2022 03:00:00 PM","Sport - Adult","Manhattan","De Witt Clinton Park: Baseball-03"
"68","Celebration","08/06/2022 03:00:00 PM","08/06/2022 05:00:00 PM","Special Event","Manhattan","Tompkins Square Park: Slocum Memorial Fountain Plaza"
"69","DJ Nubian's Music Festival","08/27/2022 03:00:00 PM","08/27/2022 07:00:00 PM","Special Event","Brooklyn","Maria Hernandez Park: Central Plaza/Performance Area"
"70","Volleyball","03/12/2022 10:00:00 AM","03/12/2022 06:00:00 PM","Sport - Youth","Brooklyn","Parade Ground: Volleyball-12"
"71","Celebration","07/09/2022 10:00:00 AM","07/09/2022 06:00:00 PM","Special Event","Brooklyn","Canarsie Park: East 84th BBQ Area"
"72","Covid 19 testing for the public","02/24/2022 07:00:00 AM","02/24/2022 07:00:00 PM","Special Event","Queens","Louis Armstrong Playground: Louis Armstrong Playground"
"73","Celebration","05/06/2022 02:00:00 PM","05/06/2022 03:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"74","Covid 19 testing for the public","02/21/2022 07:00:00 AM","02/21/2022 07:00:00 PM","Special Event","Bronx","Stars & Stripes Playground: Stars & Stripes Playground"
"75","Celebration","11/11/2022 02:00:00 PM","11/11/2022 04:00:00 PM","Special Event","Manhattan","Fort Tryon Park: Billings Lawn ,Fort Tryon Park: Heather Garden ,Fort Tryon Park: Linden Terrace"
"76","Softball (Little league)","03/12/2022 08:00:00 AM","03/12/2022 12:00:00 PM","Sport - Youth","Brooklyn","Carroll Park: Softball-01"
"77","Soccer -Regulation","03/12/2022 08:00:00 AM","03/12/2022 06:00:00 PM","Sport - Youth","Brooklyn","Parade Ground: Soccer-10 ,Parade Ground: Soccer-11"
"78","Soccer - Non Regulation","03/12/2022 09:00:00 AM","03/12/2022 03:00:00 PM","Sport - Youth","Brooklyn","McLaughlin Park: Soccer-01 ,Dean Playground: Soccer-01"
"79","Celebration","11/10/2022 01:00:00 PM","11/10/2022 02:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"80","Celebration","03/03/2022 03:00:00 PM","03/03/2022 05:00:00 PM","Special Event","Manhattan","Central Park: Bethesda Fountain Terrace"
"81","97 Street Greenmarket Friday","02/18/2022 08:00:00 AM","02/18/2022 05:00:00 PM","Farmers Market","Manhattan","WEST   97 STREET between COLUMBUS AVENUE and AMSTERDAM AVENUE"
"82","Baseball - Adults","02/17/2022 09:00:00 AM","02/17/2022 03:00:00 PM","Sport - Adult","Manhattan","De Witt Clinton Park: Baseball-03"
"83","Outdoor Learning renewal permit 599377","02/16/2022 12:30:00 PM","02/16/2022 02:30:00 PM","Special Event","Manhattan","Central Park: Wild West Playground Lawn"
"84","Celebration","09/17/2022 12:00:00 PM","09/17/2022 02:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"85","Brooklyn Kids Prep School Outdoor Learning","02/28/2022 03:00:00 PM","02/28/2022 09:00:00 PM","Special Event","Brooklyn","Marine Park: Lawn (Fillmore Avenue)"
"86","Soccer -Regulation","02/22/2022 08:00:00 AM","02/22/2022 10:00:00 PM","Sport - Youth","Brooklyn","Calvert Vaux Park: Soccer-01"
"87","Celebration","06/11/2022 01:00:00 PM","06/11/2022 05:00:00 PM","Special Event","Manhattan","Harlem Art Park: Harlem Art Park"
"88","Soccer - Non Regulation","03/02/2022 07:00:00 PM","03/02/2022 09:00:00 PM","Sport - Adult","Manhattan","James J Walker Park: Soccer-01 ,James J Walker Park: Soccer-01"
"89","Covid 19 testing for the public","02/25/2022 07:00:00 AM","02/25/2022 07:00:00 PM","Special Event","Manhattan","Mitchell Square: Mitchel Square"
"90","Hugh Hayden Reflection Board","03/07/2022 12:00:00 PM","03/07/2022 02:00:00 PM","Special Event","Manhattan","Madison Square Park: Veterans Lawn"
"91","2nd  3rd Grade Outdoor Learning","03/07/2022 12:00:00 PM","03/07/2022 02:00:00 PM","Special Event","Bronx","Hunts PointPlayground: Hunts Point Playground"
"92","Model Helicopter Flying","03/07/2022 08:00:00 AM","03/07/2022 07:00:00 PM","Special Event","Brooklyn","Calvert Vaux Park: Hobby Field"
"93","Softball - Adults","03/07/2022 03:00:00 PM","03/07/2022 06:00:00 PM","Sport - Youth","Queens","Queensbridge Park: Softball-03"
"94","Soccer - Non Regulation","03/13/2022 10:00:00 AM","03/13/2022 12:00:00 PM","Sport - Adult","Brooklyn","Bill Brown Playground: Soccer-01"
"95","Soccer -Regulation","03/15/2022 07:00:00 PM","03/15/2022 09:00:00 PM","Sport - Adult","Manhattan","James J Walker Park: Soccer-01"
"96","Celebration","06/22/2022 11:00:00 AM","06/22/2022 01:00:00 PM","Special Event","Manhattan","Central Park: Wagner Cove ,Central Park: Cherry Hill"
"97","Outdoor learning-12X458-DOE","03/07/2022 10:00:00 AM","03/07/2022 02:00:00 PM","Special Event","Bronx","Starlight Park: Starlight Park"
"98","Lawn Closure of Veterans lawn","02/21/2022 12:00:00 AM","02/21/2022 11:00:00 PM","Special Event","Manhattan","Madison Square Park: Veterans Lawn"
"99","Celebration","06/04/2022 11:00:00 AM","06/04/2022 01:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"100","Celebration","05/07/2022 03:00:00 PM","05/07/2022 05:00:00 PM","Special Event","Manhattan","Central Park: The Pool Lawns"
"101","Celebration","06/23/2022 09:00:00 AM","06/23/2022 11:00:00 AM","Special Event","Manhattan","Central Park: Wagner Cove ,Central Park: Cherry Hill"
"102","Soccer - Non Regulation","03/12/2022 08:00:00 AM","03/12/2022 03:00:00 PM","Sport - Youth","Queens","Flushing Meadows Corona Park: Soccer-08"
"103","Celebration","06/25/2022 01:00:00 PM","06/25/2022 03:00:00 PM","Special Event","Manhattan","Carl Schurz Park: Peter Pan Circle"
"104","Gandhi Jayanti","10/02/2022 09:00:00 AM","10/02/2022 12:00:00 PM","Special Event","Manhattan","Union Square Park: Gandhi Statue"
"105","Football Ã¢â¬â Flag Football","03/12/2022 09:00:00 AM","03/12/2022 05:00:00 PM","Sport - Youth","Staten Island","Gen. Douglas MacArthur Park: Multi-Use Field-01"
"106","Celebration","06/25/2022 12:00:00 PM","06/25/2022 07:00:00 PM","Special Event","Brooklyn","Marine Park: Lawn Area (Burnett St)"
"107","Frisbee","03/13/2022 02:00:00 PM","03/13/2022 05:00:00 PM","Sport - Youth","Brooklyn","McCarren Park: Soccer-01"
"108","Celebration","10/08/2022 05:00:00 PM","10/08/2022 07:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"109","Baseball - 12 and Under (Little League)","03/12/2022 08:00:00 AM","03/12/2022 04:00:00 PM","Sport - Youth","Brooklyn","Dimattina Playground: Softball-01"
"110","Celebration","03/12/2022 03:00:00 PM","03/12/2022 04:00:00 PM","Special Event","Manhattan","Central Park: Wagner Cove ,Central Park: Cherry Hill"
"111","Soccer - Non Regulation","03/03/2022 03:30:00 PM","03/03/2022 08:00:00 PM","Sport - Youth","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Wards Meadow Fields-Soccer-72 ,Randall's Island Park: East River Fields-Soccer-85 ,Randall's Island Park: East River Fields-Soccer-85 ,Randall's Island Park: East River Fields-Soccer-82 ,Randall's Island Park: Wards Meadow Fields-Soccer-73 ,Randall's Island Park: East River Fields-Soccer-83"
"112","Cedar Hill Winter Closure Nov 15, 2021 - April 15, 2022","02/24/2022 12:00:00 AM","02/24/2022 11:59:00 PM","Special Event","Manhattan","Central Park: Cedar Hill"
"113","Soccer - Non Regulation","03/13/2022 10:00:00 AM","03/13/2022 12:00:00 PM","Sport - Youth","Manhattan","Randall's Island Park: East River Fields-Soccer-83 ,Randall's Island Park: Wards Meadow Fields-Soccer-73 ,Randall's Island Park: Wards Meadow Fields-Soccer-72 ,Randall's Island Park: Sunken Garden Fields-Soccer-90 ,Randall's Island Park: Sunken Garden Fields-Soccer-91 ,Randall's Island Park: East River Fields-Soccer-84"
"114","Mobile COVID-19 Test Site","03/02/2022 08:00:00 AM","03/02/2022 07:00:00 PM","Special Event","Bronx","St. James Park: St. James Park"
"115","Miscellaneous","06/16/2022 10:00:00 AM","06/16/2022 01:00:00 PM","Special Event","Queens","Whitestone Playground: Whitestone Playground"
"116","Outdoor Learning renewal permit 599377","03/14/2022 12:30:00 PM","03/14/2022 02:30:00 PM","Special Event","Manhattan","Central Park: Wild West Playground Lawn"
"117","Covid 19 testing for the public","02/18/2022 07:00:00 AM","02/18/2022 07:00:00 PM","Special Event","Queens","Louis Armstrong Playground: Louis Armstrong Playground"
"118","Celebration","06/23/2022 05:30:00 PM","06/23/2022 07:30:00 PM","Special Event","Manhattan","Central Park: Cherry Hill ,Central Park: Wagner Cove"
"119","Movies Under the Stars","08/04/2022 07:00:00 PM","08/04/2022 09:00:00 PM","Special Event","Manhattan","Fort Tryon Park: Dongan Lawn"
"120","reboot","02/19/2022 12:00:00 PM","02/19/2022 06:00:00 PM","Special Event","Brooklyn","McCarren Park: Lawn South of Field House"
"121","Khojaly Massacre","02/26/2022 01:00:00 PM","02/26/2022 03:00:00 PM","Special Event","Manhattan","Dag Hammarskjold Plaza: First Avenue Plaza"
"122","Mobile COVID-19 Test Site","02/25/2022 08:00:00 AM","02/25/2022 07:00:00 PM","Special Event","Queens","Phil ''Scooter'' Rizzuto Park / Smokey Oval: Phil ''Scooter'' Rizzuto Park"
"123","Celebration","10/29/2022 03:00:00 PM","10/29/2022 04:00:00 PM","Special Event","Manhattan","Central Park: Bethesda Fountain Terrace"
"124","Mobile COVID-19 Test Site","02/19/2022 08:00:00 AM","02/19/2022 07:00:00 PM","Special Event","Queens","Park Of The Americas / Linden Park: Linden Park"
"125","Karr Baby Shower","05/08/2022 11:00:00 AM","05/08/2022 07:00:00 PM","Special Event","Brooklyn","Prospect Park: CONCERT GROVE PAVILION"
"126","Baseball - Adults","02/24/2022 09:00:00 AM","02/24/2022 03:00:00 PM","Sport - Adult","Manhattan","De Witt Clinton Park: Baseball-03"
"127","Celebration","07/28/2022 01:00:00 PM","07/28/2022 03:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"128","Vaccine Command Center-","03/08/2022 08:00:00 AM","03/08/2022 08:00:00 PM","Special Event","Staten Island","Dugan Playground: Dugan Playground"
"129","Picnic House","09/16/2022 12:00:00 PM","09/16/2022 06:00:00 PM","Special Event","Brooklyn","Prospect Park: Picnic House South ,Prospect Park: Picnic House"
"130","Miscellaneous","02/23/2022 08:00:00 AM","02/23/2022 08:00:00 PM","Sport - Youth","Brooklyn","P.O. Reinaldo Salgado Playground (PS 309): Football-01"
"131","Baseball - Adults","02/18/2022 09:00:00 AM","02/18/2022 03:00:00 PM","Sport - Adult","Manhattan","De Witt Clinton Park: Baseball-03"
"132","Celebration","07/28/2022 03:00:00 PM","07/28/2022 04:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"133","Celebration","08/27/2022 02:00:00 PM","08/27/2022 04:00:00 PM","Special Event","Manhattan","Central Park: Shakespeare Garden"
"134","People's Tree Lighting","12/03/2022 01:00:00 PM","12/03/2022 06:30:00 PM","Special Event","Manhattan","Harlem Art Park: Harlem Art Park"
"135","Soccer - Non Regulation","02/19/2022 07:30:00 AM","02/19/2022 12:00:00 PM","Sport - Youth","Brooklyn","Parade Ground: Soccer-08A"
"136","reboot","02/26/2022 12:00:00 PM","02/26/2022 06:00:00 PM","Special Event","Brooklyn","McCarren Park: Lawn South of Field House"
"137","Permitted Film Event","01/24/2022 05:00:00 AM","02/26/2022 10:00:00 PM","Theater Load in and Load Outs","Manhattan","Imperial Theatre: 249 West 45th Street"
"138","Soccer - Non Regulation","02/17/2022 06:00:00 PM","02/17/2022 11:00:00 PM","Sport - Adult","Brooklyn","McCarren Park: Soccer-01"
"139","Celebration","05/05/2022 01:00:00 PM","05/05/2022 03:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"140","Celebration","04/23/2022 12:30:00 PM","04/23/2022 04:30:00 PM","Special Event","Manhattan","Harlem Art Park: Harlem Art Park"
"141","Hockey","02/21/2022 03:00:00 PM","02/21/2022 06:00:00 PM","Sport - Adult","Manhattan","Carl Schurz Park: Hockey-01"
"142","Celebration","04/23/2022 09:00:00 AM","04/23/2022 11:00:00 AM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"143","Movies Under the Stars","09/03/2022 07:00:00 PM","09/03/2022 09:00:00 PM","Special Event","Manhattan","J. Hood Wright Park: Center Lawn"
"144","Celebration","04/13/2022 01:00:00 PM","04/13/2022 03:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"145","Soccer - Non Regulation","02/24/2022 03:00:00 PM","02/24/2022 05:30:00 PM","Sport - Youth","Manhattan","Eugene McCabe Field: Soccer-01"
"146","Celebration","11/11/2022 02:00:00 PM","11/11/2022 04:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"147","Movies Under the Stars","05/28/2022 07:00:00 PM","05/28/2022 09:00:00 PM","Special Event","Manhattan","Thomas Jefferson Park: Softball-02 ,Thomas Jefferson Park: Softball-03"
"148","SAFE Disposal Event","04/07/2022 04:00:00 PM","04/07/2022 07:00:00 PM","Special Event","Brooklyn","Saratoga Park: Saratoga Park"
"149","Celebration","02/22/2022 11:00:00 AM","02/22/2022 01:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"150","Celebration","02/19/2022 02:00:00 PM","02/19/2022 04:00:00 PM","Special Event","Manhattan","Fort Tryon Park: Billings Lawn ,Fort Tryon Park: Heather Garden ,Fort Tryon Park: Linden Terrace"
"151","Forest Hills Greenmarket Sunday","03/13/2022 08:00:00 AM","03/13/2022 05:00:00 PM","Farmers Market","Queens","QUEENS BOULEVARD between 70 AVENUE and 69 ROAD"
"152","Miscellaneous","03/13/2022 09:00:00 AM","03/13/2022 12:00:00 PM","Sport - Adult","Manhattan","William F. Passannante Ballfield: Softball-01"
"153","Miscellaneous","03/11/2022 02:30:00 PM","03/11/2022 05:30:00 PM","Sport - Youth","Brooklyn","Ten Eyck Playground (PS 196): Multi Purpose Play Area-01 ,Ten Eyck Playground (PS 196): Basketball-01"
"154","Frisbee","03/13/2022 12:00:00 PM","03/13/2022 04:00:00 PM","Sport - Adult","Manhattan","Riverside Park: 107th/108th St-Soccer-01 E ,East River Park: Soccer-03 Houston St & FDR"
"155","Mobile COVID-19 Test Site","02/16/2022 08:00:00 AM","02/16/2022 07:00:00 PM","Special Event","Bronx","Crotona Park: Crotona Park"
"156","Miscellaneous","05/31/2022 09:00:00 AM","05/31/2022 02:00:00 PM","Special Event","Queens","Maurice A Fitzgerald Playground: Maurice A Fitzgerald Playground"
"157","Soccer - Non Regulation","03/06/2022 06:00:00 PM","03/06/2022 08:00:00 PM","Sport - Adult","Brooklyn","Calvert Vaux Park: Soccer-01"
"158","Soccer -Regulation","03/12/2022 06:00:00 PM","03/12/2022 08:00:00 PM","Sport - Youth","Brooklyn","Calvert Vaux Park: Soccer-01"
"159","freeskewl Gathering","04/10/2022 05:00:00 PM","04/10/2022 06:00:00 PM","Special Event","Brooklyn","Prospect Park: CONCERT GROVE PAVILION"
"160","Mobile COVID-19 Test Site","02/17/2022 08:00:00 AM","02/17/2022 07:00:00 PM","Special Event","Bronx","Crotona Park: Crotona Park"
"161","Barbecue","06/25/2022 12:00:00 PM","06/25/2022 06:00:00 PM","Special Event","Manhattan","East River Park: 10 Street BBQ B"
"162","Celebration","06/04/2022 12:00:00 PM","06/04/2022 06:30:00 PM","Special Event","Manhattan","Harlem Art Park: Harlem Art Park"
"163","Basketball","03/14/2022 09:00:00 AM","03/14/2022 05:00:00 PM","Sport - Youth","Brooklyn","JHS 51 JOP: Basketball-01 ,JHS 51 JOP: Basketball-02 ,JHS 51 JOP: Basketball-03"
