"","Event.Name","Start.Date.Time","End.Date.Time","Event.Type","Event.Borough","Event.Location"
"34","Horizon-Forbidden West Clawstrider Sculpture - Times Sq. Plaza","02/18/2022 07:00:00 AM","02/20/2022 08:00:00 PM","Plaza Event","Manhattan","43/44 Broadway Pedestrian Plaza (Times Sq): 43/44 Broadway Pedestrian Plaza (Times Sq) BROADWAY between WEST   43 STREET and WEST   44 STREET,  WEST   43 STREET between BROADWAY and 6 AVENUE"
"35","Outdoor Learning - Brooklyn International High School","03/08/2022 09:00:00 AM","03/08/2022 03:00:00 PM","Special Event","Brooklyn","Commodore Barry Park: Multi Purpose Play Area-01"
"36","Soccer - Non Regulation","03/12/2022 10:00:00 AM","03/12/2022 12:00:00 PM","Sport - Adult","Manhattan","East River Park: Grand Street Mini Field-Soccer-03"
"37","Soccer -Regulation","03/13/2022 08:00:00 AM","03/13/2022 08:00:00 PM","Sport - Youth","Queens","St. Michael's Playground: Soccer-01"
"38","Soccer - Non Regulation","03/12/2022 10:00:00 AM","03/12/2022 12:00:00 PM","Sport - Youth","Manhattan","Peter's Field: Soccer-01"
"39","Celebration","06/01/2022 02:00:00 PM","06/01/2022 03:00:00 PM","Special Event","Manhattan","Fort Tryon Park: Linden Terrace ,Fort Tryon Park: Heather Garden ,Fort Tryon Park: Billings Lawn"
"40","Soccer -Regulation","03/12/2022 08:00:00 AM","03/12/2022 10:00:00 AM","Sport - Adult","Brooklyn","Kaiser Park: Football-01"
"41","Celebration","02/19/2022 02:30:00 PM","02/19/2022 04:30:00 PM","Special Event","Manhattan","Central Park: Wagner Cove ,Central Park: Cherry Hill"
"42","Baseball - Adults","02/25/2022 09:00:00 AM","02/25/2022 03:00:00 PM","Sport - Adult","Manhattan","De Witt Clinton Park: Baseball-03"
"43","Baseball - Adults","02/19/2022 09:00:00 AM","02/19/2022 03:00:00 PM","Sport - Adult","Manhattan","De Witt Clinton Park: Baseball-03"
"44","Celebration","05/20/2022 11:00:00 AM","05/20/2022 01:00:00 PM","Special Event","Manhattan","Central Park: Belvedere Castle Terrace"
"45","Outdoor Learning Application-PS 132-DOE","02/17/2022 08:30:00 AM","02/17/2022 02:00:00 PM","Special Event","Brooklyn","Cooper Park: Center Oval Lawn"
"46","NYRR Open Run Cunningham Park","03/13/2022 09:00:00 AM","03/13/2022 10:00:00 AM","Special Event","Queens","Cunningham Park: Natural Trails"
"47","Volleyball","03/12/2022 10:00:00 AM","03/12/2022 06:00:00 PM","Sport - Youth","Brooklyn","Parade Ground: Volleyball-12"
"48","Outdoor Learning Permit","03/14/2022 09:30:00 AM","03/14/2022 01:30:00 PM","Special Event","Manhattan","Inwood Hill Park: Emerson Playground"
"49","Softball - Adults","03/14/2022 09:00:00 AM","03/14/2022 06:00:00 PM","Sport - Adult","Brooklyn","Van Voorhees Playground: Softball-01"
"50","Mobile COVID-19 Test Site","03/05/2022 08:00:00 AM","03/05/2022 06:00:00 PM","Special Event","Bronx","Rienzi Playground: Rienzi Playground"
"51","Celebration","03/18/2022 01:00:00 PM","03/18/2022 03:00:00 PM","Special Event","Manhattan","Central Park: Dene Lawn"
"52","Celebration","04/15/2022 02:00:00 PM","04/15/2022 04:00:00 PM","Special Event","Manhattan","Fort Tryon Park: Billings Lawn ,Fort Tryon Park: Heather Garden ,Fort Tryon Park: Linden Terrace"
"53","Outdoor Learning Application-PS 132-DOE","02/15/2022 08:30:00 AM","02/15/2022 02:00:00 PM","Special Event","Brooklyn","Cooper Park: Center Oval Lawn"
"54","NYC Surfing Surf School","02/27/2022 08:00:00 AM","02/27/2022 03:00:00 PM","Special Event","Queens","Rockaway Beach and Boardwalk: Beach 67th Street Surfing Beach"
"55","Soccer - Non Regulation","02/17/2022 05:00:00 PM","02/17/2022 07:00:00 PM","Sport - Youth","Queens","Frank Principe Park / Maurice Park: Soccer-03"
"56","Baseball - Adults","02/16/2022 09:00:00 AM","02/16/2022 03:00:00 PM","Sport - Adult","Manhattan","De Witt Clinton Park: Baseball-03"
"57","Studio 145: Danceathon 4: The Sound of Disco","06/03/2022 05:30:00 PM","06/03/2022 08:00:00 PM","Special Event","Manhattan","Jackie Robinson Park: Bandshell"
"58","Baseball - 12 and Under (Little League)","03/14/2022 03:00:00 PM","03/14/2022 05:30:00 PM","Sport - Youth","Manhattan","Riverside Park: 103rd St-Softball-04 ,Riverside Park: 103rd St-Softball-05 ,East River Park: Softball-05"
"59","Soccer - Non Regulation","03/14/2022 03:00:00 PM","03/14/2022 05:30:00 PM","Sport - Youth","Manhattan","Eugene McCabe Field: Soccer-01"
"60","Aurora's Funeral","03/26/2022 03:00:00 PM","03/26/2022 04:00:00 PM","Special Event","Queens","Francis Lewis Playground: Francis Lewis Playground"
"61","Frisbee","03/14/2022 04:00:00 PM","03/14/2022 05:30:00 PM","Sport - Youth","Brooklyn","Commodore Barry Park: Soccer-01"
"62","Mobile COVID-19 Test Site","03/02/2022 08:00:00 AM","03/02/2022 07:00:00 PM","Special Event","Bronx","St. James Park: St. James Park"
"63","Miscellaneous","06/16/2022 10:00:00 AM","06/16/2022 01:00:00 PM","Special Event","Queens","Whitestone Playground: Whitestone Playground"
"64","The Scandinavian Music Festival","06/12/2022 02:00:00 PM","06/12/2022 03:30:00 PM","Special Event","Manhattan","Fort Tryon Park: Billings Lawn"
"65","Outdoor Learning - University Neighborhood High School 01M448 - DOE","02/28/2022 08:00:00 AM","02/28/2022 03:00:00 PM","Special Event","Manhattan","Lillian D Wald Playground: Lillian D Wald Playground"
"66","Baseball - Adults","02/22/2022 09:00:00 AM","02/22/2022 03:00:00 PM","Sport - Adult","Manhattan","De Witt Clinton Park: Baseball-03"
"67","Celebration","08/06/2022 03:00:00 PM","08/06/2022 05:00:00 PM","Special Event","Manhattan","Tompkins Square Park: Slocum Memorial Fountain Plaza"
"68","97 Street Greenmarket Friday","02/18/2022 08:00:00 AM","02/18/2022 05:00:00 PM","Farmers Market","Manhattan","WEST   97 STREET between COLUMBUS AVENUE and AMSTERDAM AVENUE"
"69","DJ Nubian's Music Festival","08/27/2022 03:00:00 PM","08/27/2022 07:00:00 PM","Special Event","Brooklyn","Maria Hernandez Park: Central Plaza/Performance Area"
"70","Celebration","07/09/2022 10:00:00 AM","07/09/2022 06:00:00 PM","Special Event","Brooklyn","Canarsie Park: East 84th BBQ Area"
"71","Softball (Little league)","03/12/2022 08:00:00 AM","03/12/2022 12:00:00 PM","Sport - Youth","Brooklyn","Carroll Park: Softball-01"
"72","Soccer -Regulation","03/12/2022 08:00:00 AM","03/12/2022 06:00:00 PM","Sport - Youth","Brooklyn","Parade Ground: Soccer-10 ,Parade Ground: Soccer-11"
"73","Hugh Hayden Reflection Board","03/07/2022 12:00:00 PM","03/07/2022 02:00:00 PM","Special Event","Manhattan","Madison Square Park: Veterans Lawn"
"74","Soccer - Non Regulation","03/12/2022 09:00:00 AM","03/12/2022 03:00:00 PM","Sport - Youth","Brooklyn","McLaughlin Park: Soccer-01 ,Dean Playground: Soccer-01"
"75","Outdoor Learning renewal permit 599377","02/16/2022 12:30:00 PM","02/16/2022 02:30:00 PM","Special Event","Manhattan","Central Park: Wild West Playground Lawn"
"76","Celebration","05/14/2022 03:00:00 PM","05/14/2022 05:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"77","Celebration","05/06/2022 02:00:00 PM","05/06/2022 03:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"78","Celebration","11/11/2022 02:00:00 PM","11/11/2022 04:00:00 PM","Special Event","Manhattan","Fort Tryon Park: Billings Lawn ,Fort Tryon Park: Heather Garden ,Fort Tryon Park: Linden Terrace"
"79","Turtle Pond Lawn Winter Closure Nov. 29, 2021 - April 2, 2022","03/08/2022 12:00:00 AM","03/08/2022 11:59:00 PM","Special Event","Manhattan","Central Park: Turtle Pond Lawn"
"80","Celebration","06/03/2022 10:00:00 AM","06/03/2022 12:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"81","Celebration","03/03/2022 03:00:00 PM","03/03/2022 05:00:00 PM","Special Event","Manhattan","Central Park: Bethesda Fountain Terrace"
"82","Baseball - Adults","02/17/2022 09:00:00 AM","02/17/2022 03:00:00 PM","Sport - Adult","Manhattan","De Witt Clinton Park: Baseball-03"
"83","Celebration","09/17/2022 12:00:00 PM","09/17/2022 02:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"84","Celebration","06/25/2022 12:00:00 PM","06/25/2022 07:00:00 PM","Special Event","Brooklyn","Marine Park: Lawn Area (Burnett St)"
"85","Vaccine Command Center-","03/08/2022 08:00:00 AM","03/08/2022 08:00:00 PM","Special Event","Staten Island","Dugan Playground: Dugan Playground"
"86","Celebration","06/11/2022 01:00:00 PM","06/11/2022 05:00:00 PM","Special Event","Manhattan","Harlem Art Park: Harlem Art Park"
"87","2nd  3rd Grade Outdoor Learning","03/07/2022 12:00:00 PM","03/07/2022 02:00:00 PM","Special Event","Bronx","Hunts PointPlayground: Hunts Point Playground"
"88","Jennifer's Playground Afterschool","03/08/2022 03:00:00 PM","03/08/2022 06:00:00 PM","Special Event","Staten Island","Jennifer's Playground: Jennifer's Playground - Whole Park"
"89","Celebration","06/04/2022 11:00:00 AM","06/04/2022 01:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"90","Celebration","05/07/2022 03:00:00 PM","05/07/2022 05:00:00 PM","Special Event","Manhattan","Central Park: The Pool Lawns"
"91","Celebration","06/23/2022 09:00:00 AM","06/23/2022 11:00:00 AM","Special Event","Manhattan","Central Park: Wagner Cove ,Central Park: Cherry Hill"
"92","Model Helicopter Flying","03/07/2022 08:00:00 AM","03/07/2022 07:00:00 PM","Special Event","Brooklyn","Calvert Vaux Park: Hobby Field"
"93","Movies Under the Stars","05/21/2022 07:00:00 PM","05/21/2022 09:00:00 PM","Special Event","Manhattan","St Catherine's Park: Basketball-01 ,St Catherine's Park: Basketball-04"
"94","Gandhi Jayanti","10/02/2022 09:00:00 AM","10/02/2022 12:00:00 PM","Special Event","Manhattan","Union Square Park: Gandhi Statue"
"95","Brooklyn Kids Prep School Outdoor Learning","02/28/2022 03:00:00 PM","02/28/2022 09:00:00 PM","Special Event","Brooklyn","Marine Park: Lawn (Fillmore Avenue)"
"96","Covid 19 testing for the public","02/21/2022 07:00:00 AM","02/21/2022 07:00:00 PM","Special Event","Bronx","Stars & Stripes Playground: Stars & Stripes Playground"
"97","Soccer -Regulation","02/22/2022 08:00:00 AM","02/22/2022 10:00:00 PM","Sport - Youth","Brooklyn","Calvert Vaux Park: Soccer-01"
"98","Celebration","03/12/2022 03:00:00 PM","03/12/2022 04:00:00 PM","Special Event","Manhattan","Central Park: Wagner Cove ,Central Park: Cherry Hill"
"99","Soccer - Non Regulation","03/13/2022 10:00:00 AM","03/13/2022 12:00:00 PM","Sport - Adult","Brooklyn","Bill Brown Playground: Soccer-01"
"100","Council Member Riley's District 12 Skate Night","06/17/2022 04:00:00 PM","06/17/2022 07:30:00 PM","Special Event","Bronx","Haffen Park: Stage Area ,Haffen Park: Tennis-01"
"101","Celebration","06/23/2022 05:30:00 PM","06/23/2022 07:30:00 PM","Special Event","Manhattan","Central Park: Cherry Hill ,Central Park: Wagner Cove"
"102","Soccer - Non Regulation","03/12/2022 08:00:00 AM","03/12/2022 03:00:00 PM","Sport - Youth","Queens","Flushing Meadows Corona Park: Soccer-08"
"103","Football - Youth","03/08/2022 10:00:00 AM","03/08/2022 07:30:00 PM","Sport - Youth","Brooklyn","Betsy Head Park: Football-02"
"104","Movies Under the Stars","08/04/2022 07:00:00 PM","08/04/2022 09:00:00 PM","Special Event","Manhattan","Fort Tryon Park: Dongan Lawn"
"105","reboot","02/19/2022 12:00:00 PM","02/19/2022 06:00:00 PM","Special Event","Brooklyn","McCarren Park: Lawn South of Field House"
"106","Football Ã¢â¬â Flag Football","03/12/2022 09:00:00 AM","03/12/2022 05:00:00 PM","Sport - Youth","Staten Island","Gen. Douglas MacArthur Park: Multi-Use Field-01"
"107","East Meadow Winter Closure 11-1-21 thru 4-2-22","03/08/2022 12:00:00 AM","03/08/2022 11:59:00 PM","Special Event","Manhattan","Central Park: East Meadow ,Central Park: East Meadow Picnic Zone ,Central Park: East Meadow Clay Area ,Central Park: East Meadow North Lawn"
"108","Khojaly Massacre","02/26/2022 01:00:00 PM","02/26/2022 03:00:00 PM","Special Event","Manhattan","Dag Hammarskjold Plaza: First Avenue Plaza"
"109","Karr Baby Shower","05/08/2022 11:00:00 AM","05/08/2022 07:00:00 PM","Special Event","Brooklyn","Prospect Park: CONCERT GROVE PAVILION"
"110","Frisbee","03/13/2022 02:00:00 PM","03/13/2022 05:00:00 PM","Sport - Youth","Brooklyn","McCarren Park: Soccer-01"
"111","Baseball - Adults","02/24/2022 09:00:00 AM","02/24/2022 03:00:00 PM","Sport - Adult","Manhattan","De Witt Clinton Park: Baseball-03"
"112","Celebration","08/06/2022 03:00:00 PM","08/06/2022 05:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"113","Baseball - 12 and Under (Little League)","03/12/2022 08:00:00 AM","03/12/2022 04:00:00 PM","Sport - Youth","Brooklyn","Dimattina Playground: Softball-01"
"114","Outdoor Learning renewal permit 599377","03/14/2022 12:30:00 PM","03/14/2022 02:30:00 PM","Special Event","Manhattan","Central Park: Wild West Playground Lawn"
"115","Picnic House","09/16/2022 12:00:00 PM","09/16/2022 06:00:00 PM","Special Event","Brooklyn","Prospect Park: Picnic House South ,Prospect Park: Picnic House"
"116","Celebration","07/28/2022 01:00:00 PM","07/28/2022 03:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"117","Mobile COVID-19 Test Site","02/16/2022 08:00:00 AM","02/16/2022 07:00:00 PM","Special Event","Bronx","Crotona Park: Crotona Park"
"118","Soccer - Non Regulation","03/08/2022 08:00:00 AM","03/08/2022 08:00:00 PM","Sport - Youth","Manhattan","Frederick Douglass Playground: Soccer-01"
"119","Baseball - Adults","02/18/2022 09:00:00 AM","02/18/2022 03:00:00 PM","Sport - Adult","Manhattan","De Witt Clinton Park: Baseball-03"
"120","Celebration","07/28/2022 03:00:00 PM","07/28/2022 04:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"121","People's Tree Lighting","12/03/2022 01:00:00 PM","12/03/2022 06:30:00 PM","Special Event","Manhattan","Harlem Art Park: Harlem Art Park"
"122","Celebration","06/22/2022 11:00:00 AM","06/22/2022 01:00:00 PM","Special Event","Manhattan","Central Park: Wagner Cove ,Central Park: Cherry Hill"
"123","Miscellaneous","05/31/2022 09:00:00 AM","05/31/2022 02:00:00 PM","Special Event","Queens","Maurice A Fitzgerald Playground: Maurice A Fitzgerald Playground"
"124","Mobile COVID-19 Test Site","02/17/2022 08:00:00 AM","02/17/2022 07:00:00 PM","Special Event","Bronx","Crotona Park: Crotona Park"
"125","Basketball","03/14/2022 09:00:00 AM","03/14/2022 05:00:00 PM","Sport - Youth","Brooklyn","JHS 51 JOP: Basketball-01 ,JHS 51 JOP: Basketball-02 ,JHS 51 JOP: Basketball-03"
"126","Mobile COVID-19 Test Site","03/01/2022 08:00:00 AM","03/01/2022 07:00:00 PM","Special Event","Bronx","St. James Park: St. James Park"
"127","Lawn Closure of Veterans lawn","02/21/2022 12:00:00 AM","02/21/2022 11:00:00 PM","Special Event","Manhattan","Madison Square Park: Veterans Lawn"
"128","Cedar Hill Winter Closure Nov 15, 2021 - April 15, 2022","02/24/2022 12:00:00 AM","02/24/2022 11:59:00 PM","Special Event","Manhattan","Central Park: Cedar Hill"
"129","Celebration","09/10/2022 01:00:00 PM","09/10/2022 03:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"130","Celebration","08/27/2022 02:00:00 PM","08/27/2022 04:00:00 PM","Special Event","Manhattan","Central Park: Shakespeare Garden"
"131","Soccer - Non Regulation","03/13/2022 10:00:00 AM","03/13/2022 12:00:00 PM","Sport - Youth","Manhattan","Randall's Island Park: East River Fields-Soccer-83 ,Randall's Island Park: Wards Meadow Fields-Soccer-73 ,Randall's Island Park: Wards Meadow Fields-Soccer-72 ,Randall's Island Park: Sunken Garden Fields-Soccer-90 ,Randall's Island Park: Sunken Garden Fields-Soccer-91 ,Randall's Island Park: East River Fields-Soccer-84"
"132","reboot","02/26/2022 12:00:00 PM","02/26/2022 06:00:00 PM","Special Event","Brooklyn","McCarren Park: Lawn South of Field House"
"133","Celebration","04/23/2022 12:30:00 PM","04/23/2022 04:30:00 PM","Special Event","Manhattan","Harlem Art Park: Harlem Art Park"
"134","Miscellaneous","02/23/2022 08:00:00 AM","02/23/2022 08:00:00 PM","Sport - Youth","Brooklyn","P.O. Reinaldo Salgado Playground (PS 309): Football-01"
"135","Soccer - Non Regulation","03/02/2022 07:00:00 PM","03/02/2022 09:00:00 PM","Sport - Adult","Manhattan","James J Walker Park: Soccer-01 ,James J Walker Park: Soccer-01"
"136","Celebration","04/13/2022 01:00:00 PM","04/13/2022 03:00:00 PM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"137","Soccer - Non Regulation","02/19/2022 07:30:00 AM","02/19/2022 12:00:00 PM","Sport - Youth","Brooklyn","Parade Ground: Soccer-08A"
"138","Celebration","04/23/2022 09:00:00 AM","04/23/2022 11:00:00 AM","Special Event","Manhattan","Central Park: Ladies' Pavilion"
"139","Permitted Film Event","01/24/2022 05:00:00 AM","02/26/2022 10:00:00 PM","Theater Load in and Load Outs","Manhattan","Imperial Theatre: 249 West 45th Street"
"140","Movies Under the Stars","09/03/2022 07:00:00 PM","09/03/2022 09:00:00 PM","Special Event","Manhattan","J. Hood Wright Park: Center Lawn"
"141","Celebration","11/11/2022 02:00:00 PM","11/11/2022 04:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"142","Celebration","02/22/2022 11:00:00 AM","02/22/2022 01:00:00 PM","Special Event","Manhattan","Central Park: Cop Cot"
"143","Celebration","02/19/2022 02:00:00 PM","02/19/2022 04:00:00 PM","Special Event","Manhattan","Fort Tryon Park: Billings Lawn ,Fort Tryon Park: Heather Garden ,Fort Tryon Park: Linden Terrace"
"144","Softball - Adults","03/07/2022 03:00:00 PM","03/07/2022 06:00:00 PM","Sport - Youth","Queens","Queensbridge Park: Softball-03"
"145","freeskewl Gathering","04/10/2022 05:00:00 PM","04/10/2022 06:00:00 PM","Special Event","Brooklyn","Prospect Park: CONCERT GROVE PAVILION"
"146","Barbecue","06/25/2022 12:00:00 PM","06/25/2022 06:00:00 PM","Special Event","Manhattan","East River Park: 10 Street BBQ B"
"147","Celebration","06/04/2022 12:00:00 PM","06/04/2022 06:30:00 PM","Special Event","Manhattan","Harlem Art Park: Harlem Art Park"
"148","Covid 19 testing for the public","02/25/2022 07:00:00 AM","02/25/2022 07:00:00 PM","Special Event","Manhattan","Mitchell Square: Mitchel Square"
"149","Soccer - Non Regulation","03/03/2022 03:30:00 PM","03/03/2022 08:00:00 PM","Sport - Youth","Manhattan","Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Wards Meadow Fields-Soccer-72 ,Randall's Island Park: East River Fields-Soccer-85 ,Randall's Island Park: East River Fields-Soccer-85 ,Randall's Island Park: East River Fields-Soccer-82 ,Randall's Island Park: Wards Meadow Fields-Soccer-73 ,Randall's Island Park: East River Fields-Soccer-83"
"150","Forest Hills Greenmarket Sunday","03/13/2022 08:00:00 AM","03/13/2022 05:00:00 PM","Farmers Market","Queens","QUEENS BOULEVARD between 70 AVENUE and 69 ROAD"
"151","Miscellaneous","03/13/2022 09:00:00 AM","03/13/2022 12:00:00 PM","Sport - Adult","Manhattan","William F. Passannante Ballfield: Softball-01"
"152","Miscellaneous","03/11/2022 02:30:00 PM","03/11/2022 05:30:00 PM","Sport - Youth","Brooklyn","Ten Eyck Playground (PS 196): Multi Purpose Play Area-01 ,Ten Eyck Playground (PS 196): Basketball-01"
"153","Frisbee","03/13/2022 12:00:00 PM","03/13/2022 04:00:00 PM","Sport - Adult","Manhattan","Riverside Park: 107th/108th St-Soccer-01 E ,East River Park: Soccer-03 Houston St & FDR"
"154","Woodward Birthday Party","05/15/2022 10:00:00 AM","05/15/2022 01:00:00 PM","Special Event","Brooklyn","Prospect Park: Grecian Shelter/Peristyle Lawn West ,Prospect Park: Peristyle Lawn East"
"155","Soccer -Regulation","03/12/2022 06:00:00 PM","03/12/2022 08:00:00 PM","Sport - Youth","Brooklyn","Calvert Vaux Park: Soccer-01"
"156","Soccer -Regulation","03/01/2022 08:00:00 AM","03/01/2022 10:00:00 PM","Sport - Youth","Brooklyn","Calvert Vaux Park: Soccer-01"
"157","Outdoor Learning - PS149Q - DOE","03/01/2022 08:00:00 AM","03/01/2022 03:00:00 PM","Special Event","Queens","Northern Playground: Northern Playground"
"158","Football Ã¢â¬â Flag Football","02/28/2022 08:00:00 PM","02/28/2022 10:00:00 PM","Sport - Adult","Staten Island","Gen. Douglas MacArthur Park: Multi-Use Field-01"
"159","Movies Under the Stars","08/12/2022 07:00:00 PM","08/12/2022 09:00:00 PM","Special Event","Manhattan","Moore Playground: Basketball-01 ,Moore Playground: Basketball-02 ,Moore Playground: Basketball-03"
"160","Soccer -Regulation","02/28/2022 06:00:00 PM","02/28/2022 10:00:00 PM","Sport - Youth","Brooklyn","Calvert Vaux Park: Soccer-01"
"161","Soccer - Non Regulation","03/01/2022 04:00:00 PM","03/01/2022 05:30:00 PM","Sport - Youth","Manhattan","Peter's Field: Soccer-01"
